FIRE_YEAR,month,frequency
2011,1,1
2011,3,4
2011,4,39
2011,5,230
2011,6,88
2011,7,105
2011,8,23
2011,9,12
2011,10,6
2012,4,19
2012,5,92
2012,6,154
2012,7,53
2012,8,26
2012,9,41
2012,10,7
2012,11,10
2012,12,7
2013,2,1
2013,3,1
2013,4,7
2013,5,116
2013,6,285
2013,7,106
2013,8,57
2013,9,16
2013,10,2
2013,11,1
2014,2,1
2014,3,5
2014,4,35
2014,5,175
2014,6,61
2014,7,53
2014,8,41
2014,9,16
2014,10,3
2014,11,3
2015,1,1
2015,2,1
2015,3,9
2015,4,45
2015,5,158
2015,6,398
2015,7,116
2015,8,31
2015,9,9
2015,10,2
2015,12,1
