FIRE_YEAR,month,frequency
2011,1,137
2011,2,444
2011,3,300
2011,4,119
2011,5,182
2011,6,276
2011,7,81
2011,8,147
2011,9,73
2011,10,125
2011,11,120
2011,12,38
2012,1,169
2012,2,131
2012,3,335
2012,4,157
2012,5,109
2012,6,165
2012,7,180
2012,8,36
2012,9,41
2012,10,100
2012,11,213
2012,12,111
2013,1,91
2013,2,131
2013,3,667
2013,4,151
2013,5,97
2013,6,31
2013,7,13
2013,8,16
2013,9,74
2013,10,78
2013,11,247
2013,12,74
2014,1,400
2014,2,175
2014,3,478
2014,4,173
2014,5,76
2014,6,21
2014,7,65
2014,8,141
2014,9,125
2014,10,204
2014,11,321
2014,12,239
2015,1,297
2015,2,558
2015,3,199
2015,4,77
2015,5,115
2015,6,92
2015,7,65
2015,8,115
2015,9,136
2015,10,279
2015,11,84
2015,12,57
