FIRE_YEAR,month,frequency
2011,1,128
2011,2,145
2011,3,340
2011,4,274
2011,5,48
2011,6,162
2011,7,366
2011,8,413
2011,9,371
2011,10,233
2011,11,54
2011,12,12
2012,1,95
2012,2,152
2012,3,336
2012,4,53
2012,5,158
2012,6,334
2012,7,507
2012,8,465
2012,9,75
2012,10,37
2012,11,75
2012,12,64
2013,1,21
2013,2,31
2013,3,225
2013,4,100
2013,5,18
2013,6,34
2013,7,118
2013,8,65
2013,9,183
2013,10,16
2013,11,23
2013,12,13
2014,1,308
2014,2,277
2014,3,250
2014,4,157
2014,5,66
2014,6,13
2014,7,25
2014,8,30
2014,9,45
2014,10,17
2014,11,92
2014,12,15
2015,1,244
2015,2,231
2015,3,54
2015,4,36
2015,5,18
2015,6,11
2015,7,35
2015,8,140
2015,9,170
2015,10,296
2015,11,24
2015,12,30
