FIRE_YEAR,month,frequency
2011,1,56
2011,2,41
2011,3,113
2011,4,139
2011,5,219
2011,6,215
2011,7,516
2011,8,345
2011,9,169
2011,10,60
2011,11,26
2011,12,13
2012,1,46
2012,2,54
2012,3,96
2012,4,137
2012,5,227
2012,6,317
2012,7,429
2012,8,251
2012,9,77
2012,10,55
2012,11,50
2012,12,21
2013,1,36
2013,2,26
2013,3,74
2013,4,145
2013,5,244
2013,6,322
2013,7,439
2013,8,231
2013,9,44
2013,10,39
2013,11,38
2013,12,27
2014,1,193
2014,2,183
2014,3,170
2014,4,254
2014,5,368
2014,6,415
2014,7,614
2014,8,207
2014,9,137
2014,10,122
2014,11,134
2014,12,31
2015,1,192
2015,2,164
2015,3,263
2015,4,362
2015,5,440
2015,6,675
2015,7,553
2015,8,410
2015,9,208
2015,10,153
2015,11,184
2015,12,215
