FIRE_YEAR,month,frequency
2011,1,137
2011,2,155
2011,3,131
2011,4,348
2011,5,808
2011,6,1098
2011,7,1660
2011,8,1339
2011,9,1493
2011,10,550
2011,11,330
2011,12,513
2012,1,407
2012,2,286
2012,3,287
2012,4,277
2012,5,771
2012,6,1063
2012,7,1280
2012,8,1305
2012,9,781
2012,10,482
2012,11,212
2012,12,57
2013,1,167
2013,2,219
2013,3,366
2013,4,655
2013,5,1307
2013,6,1274
2013,7,1360
2013,8,1288
2013,9,671
2013,10,569
2013,11,551
2013,12,296
2014,1,516
2014,2,222
2014,3,217
2014,4,346
2014,5,803
2014,6,965
2014,7,1447
2014,8,840
2014,9,537
2014,10,345
2014,11,197
2014,12,59
2015,1,92
2015,2,138
2015,3,249
2015,4,566
2015,5,690
2015,6,1206
2015,7,1854
2015,8,930
2015,9,701
2015,10,565
2015,11,263
2015,12,111
