FIRE_YEAR,month,frequency
2011,1,1
2011,2,11
2011,3,23
2011,4,18
2011,5,36
2011,6,168
2011,7,337
2011,8,240
2011,9,94
2011,10,25
2011,11,2
2011,12,2
2012,1,4
2012,2,2
2012,3,28
2012,4,65
2012,5,74
2012,6,202
2012,7,383
2012,8,188
2012,9,80
2012,10,67
2012,11,12
2012,12,1
2013,1,215
2013,2,178
2013,3,379
2013,4,342
2013,5,440
2013,6,800
2013,7,685
2013,8,492
2013,9,223
2013,10,68
2013,11,60
2013,12,12
2014,1,3
2014,2,6
2014,3,12
2014,4,18
2014,5,40
2014,6,86
2014,7,309
2014,8,76
2014,9,32
2014,10,10
2014,11,9
2014,12,2
2015,1,4
2015,2,4
2015,3,21
2015,4,15
2015,5,31
2015,6,100
2015,7,132
2015,8,151
2015,9,82
2015,10,46
2015,11,5
