FIRE_YEAR,month,frequency
2011,1,472
2011,2,598
2011,3,497
2011,4,487
2011,5,761
2011,6,1136
2011,7,285
2011,8,257
2011,9,141
2011,10,135
2011,11,135
2011,12,125
2012,1,469
2012,2,305
2012,3,398
2012,4,463
2012,5,511
2012,6,142
2012,7,268
2012,8,117
2012,9,52
2012,10,87
2012,11,171
2012,12,124
2013,1,265
2013,2,267
2013,3,560
2013,4,220
2013,5,307
2013,6,134
2013,7,40
2013,8,49
2013,9,76
2013,10,71
2013,11,81
2013,12,93
2014,1,177
2014,2,177
2014,3,233
2014,4,223
2014,5,305
2014,6,238
2014,7,188
2014,8,156
2014,9,54
2014,10,72
2014,11,145
2014,12,176
2015,1,172
2015,2,225
2015,3,266
2015,4,166
2015,5,530
2015,6,513
2015,7,307
2015,8,102
2015,9,57
2015,10,94
2015,11,58
2015,12,58
