FIRE_YEAR,month,frequency
2011,1,686
2011,2,1633
2011,3,1215
2011,4,582
2011,5,879
2011,6,1056
2011,7,312
2011,8,635
2011,9,497
2011,10,386
2011,11,305
2011,12,228
2012,1,525
2012,2,532
2012,3,664
2012,4,565
2012,5,484
2012,6,318
2012,7,456
2012,8,85
2012,9,100
2012,10,400
2012,11,604
2012,12,216
2013,1,559
2013,2,363
2013,3,776
2013,4,309
2013,5,200
2013,6,107
2013,7,23
2013,8,35
2013,9,113
2013,10,269
2013,11,355
2013,12,143
2014,1,519
2014,2,457
2014,3,801
2014,4,432
2014,5,167
2014,6,131
2014,7,234
2014,8,333
2014,9,66
2014,10,272
2014,11,418
2014,12,233
2015,1,226
2015,2,432
2015,3,403
2015,4,150
2015,5,273
2015,6,213
2015,7,173
2015,8,121
2015,9,67
2015,10,152
2015,11,64
2015,12,81
