FIRE_YEAR,month,frequency
2011,1,2
2011,2,1
2011,3,110
2011,4,155
2011,5,20
2011,6,9
2011,7,9
2011,8,2
2011,9,29
2011,10,69
2011,11,18
2011,12,15
2012,1,44
2012,2,16
2012,3,98
2012,4,12
2012,5,17
2012,6,36
2012,7,53
2012,8,38
2012,9,57
2012,10,50
2012,11,30
2012,12,7
2013,1,18
2013,2,10
2013,3,22
2013,4,97
2013,5,19
2013,6,5
2013,7,13
2013,8,20
2013,9,15
2013,10,15
2013,11,9
2014,1,21
2014,2,2
2014,3,136
2014,4,303
2014,5,44
2014,6,2
2014,7,3
2014,8,3
2014,9,1
2014,10,9
2014,11,16
2014,12,3
2015,1,8
2015,3,245
2015,4,197
2015,5,11
2015,6,3
2015,7,4
2015,8,1
2015,9,1
2015,10,40
2015,11,7
