FIRE_YEAR,month,frequency
2011,1,1
2011,2,3
2011,4,3
2011,5,7
2011,6,128
2011,7,285
2011,8,615
2011,9,240
2011,10,30
2011,11,6
2012,2,4
2012,3,3
2012,4,15
2012,5,37
2012,6,106
2012,7,400
2012,8,382
2012,9,169
2012,10,63
2012,11,8
2012,12,2
2013,2,3
2013,3,8
2013,4,5
2013,5,80
2013,6,92
2013,7,358
2013,8,729
2013,9,253
2013,10,31
2013,11,7
2014,1,1
2014,3,4
2014,4,11
2014,5,23
2014,6,99
2014,7,345
2014,8,615
2014,9,84
2014,10,25
2014,11,5
2014,12,3
2015,1,1
2015,2,2
2015,3,17
2015,4,21
2015,5,56
2015,6,171
2015,7,338
2015,8,551
2015,9,61
2015,10,54
2015,11,4
2015,12,1
