FIRE_YEAR,month,frequency
2011,1,4
2011,2,13
2011,3,40
2011,4,35
2011,5,3
2011,6,4
2011,7,7
2011,8,3
2011,9,6
2011,10,15
2011,11,5
2011,12,1
2012,1,5
2012,2,7
2012,3,28
2012,4,6
2012,5,5
2012,6,25
2012,7,45
2012,8,29
2012,9,6
2012,10,5
2012,11,5
2012,12,1
2013,1,3
2013,2,2
2013,3,9
2013,4,16
2013,5,2
2013,6,1
2013,8,3
2013,9,3
2013,10,2
2013,11,3
2014,1,9
2014,2,11
2014,3,85
2014,4,87
2014,5,15
2014,6,9
2014,7,1
2014,8,1
2014,9,2
2014,10,2
2014,11,3
2014,12,2
2015,1,6
2015,2,2
2015,3,43
2015,4,40
2015,5,6
2015,6,1
2015,7,1
2015,9,2
2015,10,4
2015,11,1
