FIRE_YEAR,month,frequency
2011,1,5
2011,2,4
2011,3,14
2011,4,16
2011,5,8
2011,6,2
2011,7,2
2011,8,4
2011,10,1
2012,1,4
2012,2,7
2012,3,15
2012,4,7
2012,6,10
2012,7,12
2012,8,13
2012,9,3
2012,10,1
2012,12,1
2013,1,2
2013,2,1
2013,4,4
2013,6,1
2013,7,1
2013,8,2
2013,9,1
2013,11,1
2013,12,1
2014,1,6
2014,2,3
2014,3,32
2014,4,11
2014,5,2
2014,7,2
2014,8,1
2014,10,1
2014,11,1
2015,1,636
2015,2,464
2015,3,2249
2015,4,593
2015,5,87
2015,6,189
2015,7,284
2015,8,152
2015,9,202
2015,10,402
2015,11,421
2015,12,208
