FIRE_YEAR,month,frequency
2011,1,7
2011,2,223
2011,3,271
2011,4,167
2011,6,3
2011,8,8
2011,9,8
2011,10,86
2011,11,240
2011,12,19
2012,1,57
2012,2,63
2012,3,276
2012,4,149
2012,5,8
2012,6,101
2012,7,52
2012,8,29
2012,9,5
2012,10,128
2012,11,320
2012,12,75
2013,1,21
2013,2,86
2013,3,220
2013,4,418
2013,5,8
2013,6,1
2013,7,2
2013,9,3
2013,10,18
2013,11,175
2013,12,51
2014,1,24
2014,2,147
2014,3,545
2014,4,478
2014,5,35
2014,6,5
2014,7,11
2014,8,2
2014,9,1
2014,10,23
2014,11,157
2014,12,18
2015,1,30
2015,2,53
2015,3,179
2015,4,125
2015,5,29
2015,6,5
2015,7,2
2015,8,1
2015,9,10
2015,10,46
2015,11,244
2015,12,32
