FIRE_YEAR,month,frequency
2011,1,5
2011,2,11
2011,3,21
2011,4,28
2011,5,24
2011,6,28
2011,7,23
2011,8,41
2011,9,18
2011,10,12
2011,11,5
2011,12,1
2012,1,104
2012,2,57
2012,3,79
2012,4,38
2012,5,85
2012,6,105
2012,7,84
2012,8,99
2012,9,37
2012,10,55
2012,11,90
2012,12,44
2013,1,27
2013,2,46
2013,3,381
2013,4,42
2013,5,43
2013,6,37
2013,7,77
2013,8,145
2013,9,183
2013,10,21
2013,11,41
2013,12,32
2014,1,226
2014,2,78
2014,3,182
2014,4,70
2014,5,65
2014,6,9
2014,7,39
2014,8,25
2014,9,37
2014,10,34
2014,11,79
2014,12,32
2015,1,81
2015,2,164
2015,3,35
2015,4,15
2015,5,6
2015,6,12
2015,7,48
2015,8,199
2015,9,142
2015,10,353
2015,11,11
2015,12,9
