FIRE_YEAR,month,frequency
2011,1,3
2011,2,56
2011,3,13
2011,4,5
2011,5,1
2011,6,15
2011,7,21
2011,8,10
2011,9,1
2011,11,4
2011,12,4
2012,1,5
2012,2,13
2012,3,29
2012,4,40
2012,5,3
2012,6,13
2012,7,28
2012,8,8
2012,9,4
2012,10,3
2012,11,14
2012,12,3
2013,1,5
2013,2,6
2013,3,19
2013,4,39
2013,5,8
2013,6,6
2013,7,2
2013,8,3
2013,9,11
2013,10,4
2013,11,22
2013,12,2
2014,1,4
2014,2,12
2014,3,28
2014,4,29
2014,5,9
2014,6,8
2014,7,5
2014,8,2
2014,9,4
2014,10,5
2014,11,13
2014,12,4
2015,1,1
2015,2,6
2015,3,23
2015,4,46
2015,5,20
2015,7,4
2015,8,6
2015,9,21
2015,10,7
2015,11,13
2015,12,3
