FIRE_YEAR,month,frequency
2011,3,35
2011,4,92
2011,5,57
2011,6,28
2011,7,79
2011,8,36
2011,9,12
2011,10,14
2011,11,12
2012,1,2
2012,2,9
2012,3,80
2012,4,234
2012,5,58
2012,6,14
2012,7,93
2012,8,41
2012,9,11
2012,10,6
2012,11,9
2012,12,3
2013,1,2
2013,3,9
2013,4,196
2013,5,104
2013,6,17
2013,7,20
2013,8,30
2013,9,6
2013,10,21
2013,11,38
2013,12,1
2014,1,1
2014,2,1
2014,3,2
2014,4,86
2014,5,109
2014,6,15
2014,7,27
2014,8,29
2014,9,35
2014,10,17
2014,11,10
2014,12,1
2015,1,2
2015,2,2
2015,4,41
2015,5,215
2015,6,20
2015,7,32
2015,8,24
2015,9,32
2015,10,14
2015,11,24
