FIRE_YEAR,month,frequency
2011,2,1
2011,3,6
2011,4,58
2011,5,86
2011,6,34
2011,7,39
2011,8,32
2011,9,29
2011,10,15
2011,11,8
2011,12,1
2012,1,1
2012,2,1
2012,3,83
2012,4,212
2012,5,146
2012,6,51
2012,7,89
2012,8,53
2012,9,34
2012,10,29
2012,11,11
2012,12,1
2013,1,1
2013,3,8
2013,4,92
2013,5,186
2013,6,35
2013,7,54
2013,8,47
2013,9,23
2013,10,5
2013,11,3
2013,12,1
2014,4,80
2014,5,88
2014,6,50
2014,7,11
2014,8,20
2014,9,4
2014,10,9
2014,11,2
2015,3,50
2015,4,224
2015,5,140
2015,6,18
2015,7,45
2015,8,22
2015,9,6
2015,10,15
2015,11,3
