FIRE_YEAR,month,frequency
2011,1,1
2011,3,3
2011,4,392
2011,5,259
2011,6,23
2011,7,17
2011,8,55
2011,9,64
2011,10,254
2011,11,117
2011,12,50
2012,1,10
2012,2,28
2012,3,465
2012,4,775
2012,5,207
2012,6,43
2012,7,68
2012,8,66
2012,9,314
2012,10,252
2012,11,55
2012,12,12
2013,1,1
2013,2,1
2013,4,158
2013,5,737
2013,6,49
2013,7,56
2013,8,66
2013,9,26
2013,10,19
2013,11,19
2014,4,412
2014,5,372
2014,6,23
2014,7,36
2014,8,20
2014,9,16
2014,10,106
2014,11,20
2014,12,1
2015,1,2
2015,2,4
2015,3,328
2015,4,969
2015,5,246
2015,6,46
2015,7,39
2015,8,37
2015,9,46
2015,10,107
2015,11,14
