FIRE_YEAR,month,frequency
2011,1,70
2011,2,58
2011,3,161
2011,4,125
2011,5,6
2011,6,17
2011,7,59
2011,8,41
2011,9,45
2011,10,69
2011,11,73
2011,12,16
2012,1,13
2012,2,8
2012,3,59
2012,4,11
2012,5,17
2012,6,17
2012,7,55
2012,8,29
2012,9,1
2012,10,2
2012,11,7
2012,12,2
2013,1,31
2013,2,24
2013,3,56
2013,4,112
2013,5,13
2013,6,13
2013,7,41
2013,8,7
2013,9,20
2013,10,8
2013,11,65
2013,12,23
2014,1,212
2014,2,185
2014,3,450
2014,4,235
2014,5,53
2014,6,6
2014,7,25
2014,8,30
2014,9,8
2014,10,6
2014,11,40
2014,12,1
2015,1,136
2015,2,89
2015,3,224
2015,4,74
2015,5,28
2015,6,5
2015,7,3
2015,8,5
2015,9,22
2015,10,95
2015,11,71
2015,12,17
