FIRE_YEAR,month,frequency
2011,1,164
2011,2,448
2011,3,380
2011,4,117
2011,5,186
2011,6,272
2011,7,13
2011,8,5
2011,9,6
2011,10,17
2011,11,2
2011,12,4
2012,1,153
2012,2,132
2012,3,204
2012,4,63
2012,5,82
2012,6,205
2012,7,107
2012,8,26
2012,9,42
2012,10,51
2012,11,111
2012,12,42
2013,1,72
2013,2,148
2013,3,684
2013,4,89
2013,5,38
2013,6,28
2013,7,28
2013,8,51
2013,9,177
2013,10,46
2013,11,48
2013,12,79
2014,1,509
2014,2,210
2014,3,528
2014,4,151
2014,5,110
2014,6,14
2014,7,36
2014,8,59
2014,9,53
2014,10,134
2014,11,281
2014,12,139
2015,1,284
2015,2,576
2015,3,112
2015,4,51
2015,5,42
2015,6,20
2015,7,54
2015,8,150
2015,9,235
2015,10,528
2015,11,38
2015,12,32
