FIRE_YEAR,month,frequency
2011,2,1
2011,3,10
2011,4,25
2011,5,37
2011,6,48
2011,7,270
2011,8,560
2011,9,171
2011,10,49
2011,11,13
2011,12,6
2012,1,16
2012,2,11
2012,3,80
2012,4,90
2012,5,79
2012,6,139
2012,7,641
2012,8,504
2012,9,218
2012,10,56
2012,11,20
2013,1,6
2013,2,8
2013,3,35
2013,4,69
2013,5,96
2013,6,80
2013,7,309
2013,8,535
2013,9,172
2013,10,35
2013,11,10
2013,12,4
2014,1,6
2014,2,1
2014,3,11
2014,4,102
2014,5,80
2014,6,107
2014,7,375
2014,8,373
2014,9,93
2014,10,43
2014,11,12
2015,1,5
2015,2,9
2015,3,106
2015,4,99
2015,5,108
2015,6,216
2015,7,467
2015,8,633
2015,9,124
2015,10,77
2015,11,13
2015,12,9
