FIRE_YEAR,month,frequency
2011,1,324
2011,2,1805
2011,3,759
2011,4,543
2011,5,208
2011,6,486
2011,7,400
2011,8,217
2011,9,90
2011,10,155
2011,11,232
2011,12,208
2012,1,388
2012,2,382
2012,3,506
2012,4,448
2012,5,157
2012,6,238
2012,7,236
2012,8,55
2012,9,78
2012,10,143
2012,11,674
2012,12,254
2013,1,214
2013,2,314
2013,3,880
2013,4,525
2013,5,174
2013,6,73
2013,7,50
2013,8,36
2013,9,121
2013,10,149
2013,11,575
2013,12,218
2014,1,529
2014,2,460
2014,3,1052
2014,4,862
2014,5,365
2014,6,237
2014,7,191
2014,8,79
2014,9,68
2014,10,159
2014,11,336
2014,12,249
2015,1,270
2015,2,447
2015,3,416
2015,4,359
2015,5,201
2015,6,119
2015,7,145
2015,8,149
2015,9,100
2015,10,81
2015,11,125
2015,12,59
