FIRE_YEAR,month,frequency
2011,3,2
2011,4,61
2011,5,66
2011,6,22
2011,7,53
2011,8,38
2011,9,28
2011,10,44
2011,11,50
2011,12,9
2012,1,19
2012,2,16
2012,3,240
2012,4,223
2012,5,66
2012,6,65
2012,7,141
2012,8,97
2012,9,157
2012,10,62
2012,11,9
2012,12,3
2013,1,3
2013,2,1
2013,3,9
2013,4,31
2013,5,249
2013,6,38
2013,7,74
2013,8,67
2013,9,27
2013,10,23
2013,11,17
2013,12,2
2014,1,5
2014,2,2
2014,3,15
2014,4,108
2014,5,168
2014,6,29
2014,7,63
2014,8,30
2014,9,28
2014,10,40
2014,11,18
2014,12,4
2015,1,5
2015,2,4
2015,3,129
2015,4,323
2015,5,127
2015,6,51
2015,7,86
2015,8,100
2015,9,67
2015,10,83
2015,11,17
2015,12,11
