FIRE_YEAR,month,frequency
2011,1,17
2011,2,32
2011,3,145
2011,4,162
2011,5,63
2011,6,37
2011,7,84
2011,8,50
2011,9,49
2011,10,124
2011,11,50
2011,12,19
2012,1,82
2012,2,36
2012,3,187
2012,4,75
2012,5,91
2012,6,134
2012,7,238
2012,8,188
2012,9,103
2012,10,48
2012,11,30
2012,12,11
2013,1,20
2013,2,22
2013,3,79
2013,4,75
2013,5,58
2013,6,42
2013,7,55
2013,8,16
2013,9,21
2013,10,12
2013,11,12
2013,12,11
2014,1,78
2014,2,34
2014,3,177
2014,4,137
2014,5,51
2014,6,27
2014,7,83
2014,8,54
2014,9,19
2014,10,25
2014,11,24
2014,12,14
2015,1,36
2015,2,32
2015,3,254
2015,4,80
2015,5,15
2015,6,18
2015,7,51
2015,8,29
2015,9,26
2015,10,42
2015,11,15
2015,12,1
