FIRE_YEAR,month,frequency
2011,2,34
2011,3,42
2011,4,48
2011,5,24
2011,6,40
2011,7,41
2011,8,5
2011,9,1
2011,10,6
2011,11,25
2011,12,6
2012,1,54
2012,2,107
2012,3,210
2012,4,352
2012,5,44
2012,6,36
2012,7,92
2012,8,16
2012,9,30
2012,10,15
2012,11,60
2012,12,13
2013,1,22
2013,2,13
2013,3,74
2013,4,299
2013,5,76
2013,6,24
2013,7,32
2013,8,23
2013,9,43
2013,10,70
2013,11,183
2013,12,13
2014,1,10
2014,2,4
2014,3,119
2014,4,293
2014,5,90
2014,6,39
2014,7,40
2014,8,47
2014,9,17
2014,10,26
2014,11,100
2014,12,14
2015,1,13
2015,2,20
2015,3,51
2015,4,217
2015,5,198
2015,6,11
2015,7,20
2015,8,57
2015,9,84
2015,10,28
2015,11,51
2015,12,20
