FIRE_YEAR,month,frequency
2011,1,38
2011,2,80
2011,3,223
2011,4,255
2011,5,254
2011,6,317
2011,7,566
2011,8,351
2011,9,68
2011,10,24
2011,11,17
2011,12,4
2012,1,20
2012,2,26
2012,3,120
2012,4,105
2012,5,115
2012,6,250
2012,7,279
2012,8,149
2012,9,41
2012,10,44
2012,11,13
2012,12,12
2013,1,13
2013,2,23
2013,3,124
2013,4,103
2013,5,146
2013,6,192
2013,7,304
2013,8,121
2013,9,25
2013,10,14
2013,11,4
2013,12,9
2014,1,35
2014,2,63
2014,3,71
2014,4,92
2014,5,109
2014,6,161
2014,7,256
2014,8,52
2014,9,12
2014,10,13
2014,11,14
2014,12,15
2015,1,8
2015,2,38
2015,3,72
2015,4,108
2015,5,59
2015,6,154
2015,7,165
2015,8,80
2015,9,42
2015,10,20
2015,11,20
2015,12,12
