FIRE_YEAR,month,frequency
2011,1,1
2011,2,3
2011,3,12
2011,4,22
2011,5,26
2011,6,52
2011,7,181
2011,8,207
2011,9,157
2011,10,42
2011,11,10
2011,12,8
2012,1,13
2012,2,9
2012,3,13
2012,4,54
2012,5,54
2012,6,98
2012,7,192
2012,8,312
2012,9,53
2012,10,24
2012,11,11
2012,12,5
2013,1,2
2013,2,3
2013,3,14
2013,4,14
2013,5,31
2013,6,97
2013,7,192
2013,8,251
2013,9,30
2013,10,10
2013,11,9
2013,12,4
2014,1,7
2014,2,5
2014,3,18
2014,4,21
2014,5,33
2014,6,60
2014,7,249
2014,8,89
2014,9,25
2014,10,21
2014,11,10
2014,12,4
2015,1,2
2015,2,6
2015,3,10
2015,4,25
2015,5,34
2015,6,112
2015,7,160
2015,8,117
2015,9,32
2015,10,26
2015,12,2
