FIRE_YEAR,month,frequency
2011,1,30
2011,2,52
2011,3,354
2011,4,451
2011,5,371
2011,6,503
2011,7,791
2011,8,253
2011,9,154
2011,10,166
2011,11,422
2011,12,193
2012,1,91
2012,2,179
2012,3,695
2012,4,754
2012,5,280
2012,6,300
2012,7,717
2012,8,287
2012,9,182
2012,10,142
2012,11,267
2012,12,50
2013,1,103
2013,2,51
2013,3,199
2013,4,780
2013,5,696
2013,6,202
2013,7,152
2013,8,144
2013,9,113
2013,10,206
2013,11,224
2013,12,20
2014,1,60
2014,2,27
2014,3,297
2014,4,1222
2014,5,610
2014,6,473
2014,7,363
2014,8,375
2014,9,303
2014,10,225
2014,11,337
2014,12,66
2015,1,62
2015,2,16
2015,3,103
2015,4,1195
2015,5,1817
2015,6,243
2015,7,392
2015,8,552
2015,9,542
2015,10,220
2015,11,528
2015,12,214
