FIRE_YEAR,month,frequency
2011,2,25
2011,3,18
2011,4,12
2011,5,1
2011,8,1
2011,10,6
2011,11,16
2012,1,5
2012,2,29
2012,3,31
2012,4,34
2012,5,7
2012,6,8
2012,7,15
2012,8,8
2012,9,2
2012,10,27
2012,11,36
2012,12,2
2013,1,11
2013,2,7
2013,3,74
2013,4,188
2013,5,11
2013,6,2
2013,8,3
2013,9,1
2013,10,2
2013,11,23
2013,12,1
2014,2,20
2014,3,253
2014,4,257
2014,5,7
2014,6,4
2014,7,3
2014,8,1
2014,9,4
2014,10,10
2014,11,48
2014,12,5
2015,1,8
2015,2,19
2015,3,179
2015,4,104
2015,5,52
2015,6,2
2015,8,6
2015,9,13
2015,10,44
2015,11,106
2015,12,4
