FIRE_YEAR,month,frequency
2011,1,269
2011,2,126
2011,3,585
2011,4,317
2011,5,12
2011,6,131
2011,7,354
2011,8,370
2011,9,190
2011,10,121
2011,11,34
2011,12,33
2012,1,135
2012,2,107
2012,3,217
2012,4,30
2012,5,54
2012,6,130
2012,7,381
2012,8,238
2012,9,54
2012,10,36
2012,11,131
2012,12,142
2013,1,48
2013,2,68
2013,3,200
2013,4,66
2013,5,22
2013,6,15
2013,7,128
2013,8,63
2013,9,119
2013,10,7
2013,11,30
2013,12,29
2014,1,308
2014,2,224
2014,3,272
2014,4,106
2014,5,54
2014,6,7
2014,7,19
2014,8,28
2014,9,21
2014,10,24
2014,11,90
2014,12,19
2015,1,285
2015,2,210
2015,3,140
2015,4,46
2015,5,2
2015,6,7
2015,7,26
2015,8,106
2015,9,90
2015,10,172
2015,11,50
2015,12,51
