FIRE_YEAR,month,frequency
2011,1,2
2011,2,8
2011,3,1
2011,4,10
2011,5,37
2011,6,78
2011,7,323
2011,8,923
2011,9,433
2011,10,109
2011,11,31
2011,12,13
2012,1,6
2012,2,11
2012,3,18
2012,4,26
2012,5,81
2012,6,119
2012,7,418
2012,8,471
2012,9,320
2012,10,161
2012,11,24
2012,12,2
2013,1,2
2013,2,6
2013,3,21
2013,4,47
2013,5,210
2013,6,160
2013,7,602
2013,8,1130
2013,9,304
2013,10,53
2013,11,23
2013,12,4
2014,1,23
2014,2,5
2014,3,19
2014,4,42
2014,5,86
2014,6,199
2014,7,1244
2014,8,1007
2014,9,308
2014,10,96
2014,11,15
2014,12,3
2015,1,3
2015,2,10
2015,3,26
2015,4,65
2015,5,109
2015,6,546
2015,7,764
2015,8,616
2015,9,187
2015,10,145
2015,11,23
2015,12,6
