FIRE_YEAR,month,frequency
2011,1,4
2011,2,8
2011,3,63
2011,4,21
2011,5,26
2011,6,8
2011,7,32
2011,8,6
2011,10,1
2011,11,25
2011,12,7
2012,1,12
2012,2,32
2012,3,210
2012,4,317
2012,5,21
2012,6,18
2012,7,31
2012,8,4
2012,9,5
2012,10,16
2012,11,57
2012,12,1
2013,1,2
2013,2,5
2013,3,70
2013,4,316
2013,5,122
2013,6,10
2013,7,7
2013,8,12
2013,9,12
2013,10,24
2013,11,58
2013,12,1
2014,1,1
2014,2,3
2014,3,152
2014,4,448
2014,5,72
2014,6,7
2014,7,12
2014,8,12
2014,9,11
2014,10,46
2014,11,111
2015,1,2
2015,2,1
2015,3,81
2015,4,441
2015,5,156
2015,6,7
2015,7,5
2015,8,14
2015,9,17
2015,10,22
2015,11,59
2015,12,2
