FIRE_YEAR,month,frequency
2011,1,249
2011,2,805
2011,3,566
2011,4,212
2011,5,134
2011,6,331
2011,7,271
2011,8,142
2011,9,149
2011,10,79
2011,11,121
2011,12,122
2012,1,294
2012,2,351
2012,3,281
2012,4,194
2012,5,135
2012,6,71
2012,7,164
2012,8,16
2012,9,32
2012,10,86
2012,11,231
2012,12,116
2013,1,246
2013,2,161
2013,3,522
2013,4,151
2013,5,75
2013,6,25
2013,7,11
2013,8,22
2013,9,52
2013,10,122
2013,11,170
2013,12,69
2014,1,259
2014,2,190
2014,3,364
2014,4,326
2014,5,161
2014,6,119
2014,7,121
2014,8,72
2014,9,30
2014,10,60
2014,11,99
2014,12,92
2015,1,109
2015,2,256
2015,3,211
2015,4,143
2015,5,114
2015,6,150
2015,7,160
2015,8,87
2015,9,45
2015,10,11
2015,11,5
2015,12,8
