FIRE_YEAR,month,frequency
2011,1,3
2011,2,20
2011,3,41
2011,4,124
2011,5,78
2011,6,53
2011,7,176
2011,8,212
2011,9,168
2011,10,276
2011,11,192
2011,12,88
2012,1,97
2012,2,87
2012,3,331
2012,4,169
2012,5,117
2012,6,289
2012,7,737
2012,8,381
2012,9,285
2012,10,134
2012,11,60
2012,12,39
2013,1,26
2013,2,24
2013,3,89
2013,4,133
2013,5,146
2013,6,74
2013,7,239
2013,8,95
2013,9,107
2013,10,32
2013,11,45
2013,12,12
2014,1,19
2014,2,28
2014,3,82
2014,4,216
2014,5,97
2014,6,55
2014,7,181
2014,8,109
2014,9,69
2014,10,90
2014,11,44
2014,12,33
2015,1,8
2015,2,35
2015,3,175
2015,4,170
2015,5,51
2015,6,41
2015,7,133
2015,8,114
2015,9,102
2015,10,84
2015,11,49
2015,12,4
