FIRE_YEAR,month,frequency
2011,1,38
2011,2,250
2011,3,179
2011,4,144
2011,5,18
2011,6,44
2011,7,30
2011,8,152
2011,9,53
2011,10,82
2011,11,176
2011,12,29
2012,1,65
2012,2,95
2012,3,151
2012,4,99
2012,5,44
2012,6,166
2012,7,153
2012,8,49
2012,9,20
2012,10,66
2012,11,233
2012,12,62
2013,1,28
2013,2,45
2013,3,169
2013,4,119
2013,5,13
2013,6,18
2013,7,10
2013,8,7
2013,9,18
2013,10,26
2013,11,130
2013,12,55
2014,1,155
2014,2,203
2014,3,438
2014,4,272
2014,5,46
2014,6,9
2014,7,14
2014,8,9
2014,9,20
2014,10,14
2014,11,73
2014,12,7
2015,1,75
2015,2,105
2015,3,94
2015,4,82
2015,5,42
2015,6,13
2015,7,2
2015,8,14
2015,9,20
2015,10,60
2015,11,86
2015,12,19
