FIRE_YEAR,month,frequency
2011,1,1775
2011,2,1858
2011,3,1887
2011,4,2080
2011,5,1314
2011,6,2081
2011,7,1955
2011,8,2459
2011,9,2369
2011,10,865
2011,11,465
2011,12,345
2012,1,690
2012,2,306
2012,3,474
2012,4,371
2012,5,734
2012,6,910
2012,7,1227
2012,8,1059
2012,9,673
2012,10,327
2012,11,442
2012,12,410
2013,1,802
2013,2,849
2013,3,1305
2013,4,522
2013,5,596
2013,6,943
2013,7,1612
2013,8,1263
2013,9,919
2013,10,371
2013,11,239
2013,12,314
2014,1,1320
2014,2,782
2014,3,959
2014,4,663
2014,5,829
2014,6,407
2014,7,751
2014,8,892
2014,9,570
2014,10,567
2014,11,518
2014,12,280
2015,1,880
2015,2,717
2015,3,398
2015,4,270
2015,5,128
2015,6,349
2015,7,935
2015,8,1594
2015,9,1256
2015,10,1349
2015,11,182
2015,12,246
