FIRE_YEAR,month,frequency
2011,1,1
2011,2,4
2011,3,4
2011,4,23
2011,5,34
2011,6,152
2011,7,264
2011,8,433
2011,9,136
2011,10,28
2011,11,10
2011,12,6
2012,1,10
2012,2,13
2012,3,52
2012,4,60
2012,5,125
2012,6,225
2012,7,475
2012,8,416
2012,9,156
2012,10,49
2012,11,10
2012,12,1
2013,1,6
2013,2,2
2013,3,22
2013,4,45
2013,5,61
2013,6,204
2013,7,358
2013,8,468
2013,9,61
2013,10,14
2013,11,6
2013,12,2
2014,1,7
2014,2,4
2014,3,27
2014,4,56
2014,5,67
2014,6,171
2014,7,471
2014,8,147
2014,9,70
2014,10,25
2014,11,12
2014,12,1
2015,1,1
2015,2,14
2015,3,9
2015,4,30
2015,5,32
2015,6,103
2015,7,182
2015,8,122
2015,9,77
2015,10,31
2015,11,3
2015,12,1
