FIRE_YEAR,month,frequency
2011,1,16
2011,2,404
2011,3,86
2011,4,130
2011,5,12
2011,6,34
2011,7,33
2011,8,34
2011,9,6
2011,10,11
2011,11,38
2011,12,9
2012,1,44
2012,2,64
2012,3,123
2012,4,164
2012,5,11
2012,6,62
2012,7,86
2012,8,11
2012,9,6
2012,10,17
2012,11,76
2012,12,21
2013,1,14
2013,2,43
2013,3,129
2013,4,194
2013,5,21
2013,6,6
2013,7,6
2013,8,2
2013,9,14
2013,10,15
2013,11,123
2013,12,14
2014,1,39
2014,2,92
2014,3,271
2014,4,233
2014,5,35
2014,6,17
2014,7,24
2014,8,7
2014,9,10
2014,10,20
2014,11,60
2014,12,13
2015,1,29
2015,2,103
2015,3,152
2015,4,176
2015,5,33
2015,6,7
2015,7,3
2015,8,17
2015,9,22
2015,10,7
2015,11,46
2015,12,2
