FIRE_YEAR,month,frequency
2011,1,1
2011,2,2
2011,3,8
2011,4,27
2011,5,27
2011,6,67
2011,7,275
2011,8,317
2011,9,224
2011,10,47
2011,11,26
2011,12,7
2012,1,1
2012,2,9
2012,3,19
2012,4,78
2012,5,89
2012,6,87
2012,7,341
2012,8,312
2012,9,388
2012,10,101
2012,11,3
2013,1,3
2013,2,1
2013,3,21
2013,4,43
2013,5,84
2013,6,126
2013,7,384
2013,8,465
2013,9,194
2013,10,44
2013,11,10
2013,12,3
2014,1,6
2014,2,4
2014,3,32
2014,4,89
2014,5,68
2014,6,178
2014,7,454
2014,8,486
2014,9,185
2014,10,55
2014,11,10
2015,2,29
2015,3,54
2015,4,59
2015,5,124
2015,6,302
2015,7,543
2015,8,457
2015,9,102
2015,10,63
2015,11,8
