FIRE_YEAR,month,frequency
2011,3,25
2011,4,179
2011,5,155
2011,6,82
2011,7,76
2011,8,32
2011,9,26
2011,10,111
2011,11,35
2011,12,14
2012,1,12
2012,2,12
2012,3,235
2012,4,261
2012,5,170
2012,6,142
2012,7,198
2012,8,90
2012,9,86
2012,10,117
2012,11,54
2012,12,3
2013,1,2
2013,3,2
2013,4,144
2013,5,254
2013,6,47
2013,7,63
2013,8,80
2013,9,50
2013,10,29
2013,11,19
2013,12,2
2014,3,26
2014,4,192
2014,5,212
2014,6,46
2014,7,46
2014,8,29
2014,9,6
2014,10,29
2014,11,18
2014,12,1
2015,3,155
2015,4,398
2015,5,160
2015,6,41
2015,7,71
2015,8,45
2015,9,20
2015,10,48
2015,11,24
2015,12,3
