FIRE_YEAR,month,frequency
2011,1,3
2011,2,131
2011,3,80
2011,4,96
2011,5,7
2011,6,5
2011,7,9
2011,8,15
2011,9,1
2011,10,12
2011,11,107
2011,12,23
2012,1,40
2012,2,43
2012,3,129
2012,4,174
2012,5,7
2012,6,13
2012,7,21
2012,8,13
2012,9,7
2012,10,53
2012,11,166
2012,12,28
2013,1,10
2013,2,39
2013,3,98
2013,4,253
2013,5,37
2013,6,1
2013,7,2
2013,9,4
2013,10,15
2013,11,112
2013,12,9
2014,1,5
2014,2,54
2014,3,304
2014,4,367
2014,5,59
2014,6,6
2014,7,7
2014,8,1
2014,9,3
2014,10,33
2014,11,107
2014,12,5
2015,1,12
2015,2,13
2015,3,178
2015,4,134
2015,5,51
2015,6,8
2015,7,4
2015,8,4
2015,9,14
2015,10,28
2015,11,228
2015,12,11
