FIRE_YEAR,month,frequency
2011,1,1
2011,2,4
2011,3,17
2011,4,22
2011,5,14
2011,6,33
2011,7,119
2011,8,317
2011,9,89
2011,10,10
2011,11,12
2011,12,2
2012,1,8
2012,2,7
2012,3,55
2012,4,55
2012,5,58
2012,6,175
2012,7,371
2012,8,155
2012,9,110
2012,10,33
2012,11,15
2012,12,4
2013,1,6
2013,2,1
2013,3,42
2013,4,54
2013,5,37
2013,6,57
2013,7,156
2013,8,141
2013,9,80
2013,10,6
2013,11,1
2014,1,3
2014,2,6
2014,3,20
2014,4,34
2014,5,52
2014,6,55
2014,7,252
2014,8,91
2014,9,37
2014,10,33
2014,11,9
2014,12,3
2015,1,3
2015,2,13
2015,3,67
2015,4,31
2015,5,21
2015,6,26
2015,7,134
2015,8,150
2015,9,124
2015,10,40
2015,11,17
2015,12,6
