,STATE,month,counts
0,AK,1,1
1,AK,3,4
2,AK,4,39
3,AK,5,230
4,AK,6,88
5,AK,7,105
6,AK,8,23
7,AK,9,12
8,AK,10,6
9,AL,1,137
10,AL,2,444
11,AL,3,300
12,AL,4,119
13,AL,5,182
14,AL,6,276
15,AL,7,81
16,AL,8,147
17,AL,9,73
18,AL,10,125
19,AL,11,120
20,AL,12,38
21,AR,1,128
22,AR,2,145
23,AR,3,340
24,AR,4,274
25,AR,5,48
26,AR,6,162
27,AR,7,366
28,AR,8,413
29,AR,9,371
30,AR,10,233
31,AR,11,54
32,AR,12,12
33,AZ,1,56
34,AZ,2,41
35,AZ,3,113
36,AZ,4,139
37,AZ,5,219
38,AZ,6,215
39,AZ,7,516
40,AZ,8,345
41,AZ,9,169
42,AZ,10,60
43,AZ,11,26
44,AZ,12,13
45,CA,1,137
46,CA,2,155
47,CA,3,131
48,CA,4,348
49,CA,5,808
50,CA,6,1098
51,CA,7,1660
52,CA,8,1339
53,CA,9,1493
54,CA,10,550
55,CA,11,330
56,CA,12,513
57,CO,1,1
58,CO,2,11
59,CO,3,23
60,CO,4,18
61,CO,5,36
62,CO,6,168
63,CO,7,337
64,CO,8,240
65,CO,9,94
66,CO,10,25
67,CO,11,2
68,CO,12,2
69,CT,1,2
70,CT,2,2
71,CT,3,58
72,CT,4,63
73,CT,5,33
74,CT,6,24
75,CT,7,20
76,CT,8,12
77,CT,9,13
78,DC,6,1
79,DC,8,1
80,FL,1,472
81,FL,2,598
82,FL,3,497
83,FL,4,487
84,FL,5,761
85,FL,6,1136
86,FL,7,285
87,FL,8,257
88,FL,9,141
89,FL,10,135
90,FL,11,135
91,FL,12,125
92,GA,1,686
93,GA,2,1633
94,GA,3,1215
95,GA,4,582
96,GA,5,879
97,GA,6,1056
98,GA,7,312
99,GA,8,635
100,GA,9,497
101,GA,10,386
102,GA,11,305
103,GA,12,228
104,HI,1,25
105,HI,2,26
106,HI,3,27
107,HI,4,28
108,HI,5,41
109,HI,6,45
110,HI,7,78
111,HI,8,96
112,HI,9,81
113,HI,10,76
114,HI,11,44
115,HI,12,36
116,IA,1,2
117,IA,2,1
118,IA,3,110
119,IA,4,155
120,IA,5,20
121,IA,6,9
122,IA,7,9
123,IA,8,2
124,IA,9,29
125,IA,10,69
126,IA,11,18
127,IA,12,15
128,ID,1,1
129,ID,2,3
130,ID,4,3
131,ID,5,7
132,ID,6,128
133,ID,7,285
134,ID,8,615
135,ID,9,240
136,ID,10,30
137,ID,11,6
138,IL,1,4
139,IL,2,13
140,IL,3,40
141,IL,4,35
142,IL,5,3
143,IL,6,4
144,IL,7,7
145,IL,8,3
146,IL,9,6
147,IL,10,15
148,IL,11,5
149,IL,12,1
150,IN,2,4
151,IN,3,2
152,IN,4,7
153,IN,7,5
154,IN,8,1
155,IN,9,3
156,IN,10,1
157,IN,11,2
158,IN,12,1
159,KS,1,5
160,KS,2,4
161,KS,3,14
162,KS,4,16
163,KS,5,8
164,KS,6,2
165,KS,7,2
166,KS,8,4
167,KS,10,1
168,KY,1,7
169,KY,2,223
170,KY,3,271
171,KY,4,167
172,KY,6,3
173,KY,8,8
174,KY,9,8
175,KY,10,86
176,KY,11,240
177,KY,12,19
178,LA,1,5
179,LA,2,11
180,LA,3,21
181,LA,4,28
182,LA,5,24
183,LA,6,28
184,LA,7,23
185,LA,8,41
186,LA,9,18
187,LA,10,12
188,LA,11,5
189,LA,12,1
190,MD,1,3
191,MD,2,56
192,MD,3,13
193,MD,4,5
194,MD,5,1
195,MD,6,15
196,MD,7,21
197,MD,8,10
198,MD,9,1
199,MD,11,4
200,MD,12,4
201,ME,3,35
202,ME,4,92
203,ME,5,57
204,ME,6,28
205,ME,7,79
206,ME,8,36
207,ME,9,12
208,ME,10,14
209,ME,11,12
210,MI,2,1
211,MI,3,6
212,MI,4,58
213,MI,5,86
214,MI,6,34
215,MI,7,39
216,MI,8,32
217,MI,9,29
218,MI,10,15
219,MI,11,8
220,MI,12,1
221,MN,1,1
222,MN,3,3
223,MN,4,392
224,MN,5,259
225,MN,6,23
226,MN,7,17
227,MN,8,55
228,MN,9,64
229,MN,10,254
230,MN,11,117
231,MN,12,50
232,MO,1,70
233,MO,2,58
234,MO,3,161
235,MO,4,125
236,MO,5,6
237,MO,6,17
238,MO,7,59
239,MO,8,41
240,MO,9,45
241,MO,10,69
242,MO,11,73
243,MO,12,16
244,MS,1,164
245,MS,2,448
