STATE,month,STAT_CAUSE_DESCR,size,id,val
GA,3,Debris Burning,2931,GA,13
GA,2,Debris Burning,2588,GA,13
GA,1,Debris Burning,1853,GA,13
GA,4,Debris Burning,1350,GA,13
GA,11,Debris Burning,1199,GA,13
GA,5,Debris Burning,1199,GA,13
GA,10,Debris Burning,1108,GA,13
GA,6,Debris Burning,854,GA,13
GA,12,Debris Burning,664,GA,13
GA,8,Debris Burning,663,GA,13
GA,9,Debris Burning,555,GA,13
GA,7,Debris Burning,513,GA,13
GA,7,Lightning,484,GA,13
GA,6,Lightning,454,GA,13
GA,3,Arson,453,GA,13
GA,2,Arson,336,GA,13
GA,8,Lightning,254,GA,13
GA,4,Arson,251,GA,13
GA,1,Arson,222,GA,13
GA,11,Arson,217,GA,13
GA,5,Lightning,215,GA,13
GA,5,Arson,214,GA,13
GA,6,Arson,174,GA,13
GA,10,Arson,167,GA,13
GA,2,Miscellaneous,161,GA,13
GA,6,Miscellaneous,157,GA,13
GA,1,Campfire,148,GA,13
GA,2,Campfire,142,GA,13
GA,11,Campfire,134,GA,13
GA,3,Children,129,GA,13
GA,5,Miscellaneous,129,GA,13
GA,3,Campfire,123,GA,13
GA,8,Arson,120,GA,13
GA,4,Miscellaneous,118,GA,13
GA,1,Miscellaneous,116,GA,13
GA,2,Children,108,GA,13
GA,12,Arson,108,GA,13
GA,3,Miscellaneous,103,GA,13
GA,1,Children,102,GA,13
GA,7,Arson,97,GA,13
GA,5,Children,95,GA,13
GA,11,Children,93,GA,13
GA,9,Arson,92,GA,13
GA,4,Campfire,83,GA,13
GA,5,Campfire,78,GA,13
GA,4,Children,77,GA,13
GA,4,Lightning,76,GA,13
GA,8,Miscellaneous,75,GA,13
GA,10,Campfire,75,GA,13
GA,9,Miscellaneous,70,GA,13
GA,6,Children,62,GA,13
GA,2,Smoking,57,GA,13
GA,1,Smoking,56,GA,13
GA,3,Lightning,53,GA,13
GA,11,Miscellaneous,53,GA,13
GA,12,Campfire,46,GA,13
GA,6,Campfire,46,GA,13
GA,12,Children,45,GA,13
GA,6,Railroad,42,GA,13
GA,4,Railroad,42,GA,13
GA,3,Smoking,42,GA,13
GA,10,Children,42,GA,13
GA,8,Children,39,GA,13
GA,9,Lightning,39,GA,13
GA,5,Railroad,37,GA,13
GA,4,Smoking,37,GA,13
GA,6,Smoking,34,GA,13
GA,5,Smoking,33,GA,13
GA,9,Campfire,33,GA,13
GA,7,Miscellaneous,33,GA,13
GA,10,Miscellaneous,32,GA,13
GA,7,Children,30,GA,13
GA,9,Children,28,GA,13
GA,11,Smoking,27,GA,13
GA,10,Smoking,27,GA,13
GA,7,Campfire,25,GA,13
GA,8,Campfire,25,GA,13
GA,12,Miscellaneous,25,GA,13
GA,3,Railroad,24,GA,13
GA,10,Railroad,21,GA,13
GA,9,Smoking,20,GA,13
GA,8,Smoking,19,GA,13
GA,8,Railroad,14,GA,13
GA,2,Lightning,14,GA,13
GA,11,Lightning,12,GA,13
GA,7,Railroad,10,GA,13
GA,2,Railroad,9,GA,13
GA,11,Railroad,9,GA,13
GA,1,Lightning,8,GA,13
GA,1,Railroad,7,GA,13
GA,10,Lightning,7,GA,13
GA,12,Smoking,6,GA,13
GA,12,Railroad,5,GA,13
GA,9,Railroad,5,GA,13
GA,7,Smoking,4,GA,13
GA,7,Equipment Use,2,GA,13
GA,2,Equipment Use,2,GA,13
GA,5,Equipment Use,2,GA,13
GA,1,Equipment Use,1,GA,13
GA,12,Lightning,1,GA,13
GA,12,Equipment Use,1,GA,13
GA,11,Structure,1,GA,13
GA,9,Equipment Use,1,GA,13
GA,5,Powerline,1,GA,13
GA,4,Structure,1,GA,13
GA,4,Powerline,1,GA,13
GA,4,Equipment Use,1,GA,13
GA,3,Powerline,1,GA,13
OR,8,Lightning,2887,OR,41
OR,7,Lightning,1931,OR,41
OR,9,Lightning,555,OR,41
OR,6,Lightning,389,OR,41
OR,8,Campfire,363,OR,41
OR,7,Campfire,320,OR,41
OR,9,Campfire,318,OR,41
OR,7,Miscellaneous,269,OR,41
OR,8,Miscellaneous,252,OR,41
OR,7,Equipment Use,238,OR,41
OR,8,Equipment Use,235,OR,41
OR,10,Campfire,187,OR,41
OR,9,Equipment Use,161,OR,41
OR,9,Miscellaneous,158,OR,41
OR,6,Campfire,156,OR,41
OR,7,Fireworks,150,OR,41
OR,6,Debris Burning,140,OR,41
OR,6,Miscellaneous,138,OR,41
OR,5,Lightning,126,OR,41
OR,5,Debris Burning,113,OR,41
OR,7,Debris Burning,105,OR,41
OR,10,Debris Burning,97,OR,41
OR,10,Miscellaneous,95,OR,41
OR,6,Equipment Use,93,OR,41
OR,7,Arson,89,OR,41
OR,5,Campfire,89,OR,41
OR,8,Debris Burning,71,OR,41
OR,5,Miscellaneous,70,OR,41
OR,9,Debris Burning,70,OR,41
OR,8,Arson,66,OR,41
OR,9,Smoking,64,OR,41
OR,4,Debris Burning,58,OR,41
OR,8,Smoking,54,OR,41
OR,6,Arson,54,OR,41
OR,9,Arson,53,OR,41
OR,7,Smoking,52,OR,41
OR,10,Equipment Use,49,OR,41
OR,5,Arson,46,OR,41
OR,11,Campfire,45,OR,41
OR,4,Campfire,44,OR,41
OR,8,Children,38,OR,41
OR,11,Miscellaneous,36,OR,41
OR,5,Equipment Use,32,OR,41
OR,7,Children,30,OR,41
OR,3,Debris Burning,28,OR,41
OR,4,Miscellaneous,26,OR,41
OR,9,Powerline,25,OR,41
OR,10,Smoking,24,OR,41
OR,10,Lightning,24,OR,41
OR,10,Arson,23,OR,41
OR,4,Lightning,21,OR,41
OR,8,Powerline,20,OR,41
OR,9,Children,20,OR,41
OR,6,Smoking,18,OR,41
OR,7,Powerline,18,OR,41
OR,4,Arson,17,OR,41
OR,1,Debris Burning,17,OR,41
OR,6,Children,17,OR,41
OR,3,Miscellaneous,16,OR,41
OR,6,Powerline,15,OR,41
OR,11,Arson,15,OR,41
OR,3,Campfire,14,OR,41
OR,4,Equipment Use,13,OR,41
OR,9,Structure,13,OR,41
OR,8,Structure,13,OR,41
OR,12,Debris Burning,12,OR,41
