,FIRE_YEAR,month_,STATE,frequency
0,2022,1,AK,210
1,2022,2,AK,184
2,2022,3,AK,157
3,2022,4,AK,131
4,2022,5,AK,104
5,2022,6,AK,77
6,2022,7,AK,51
7,2022,8,AK,24
8,2022,9,AK,0
9,2022,10,AK,0
10,2022,11,AK,0
11,2022,12,AK,0
12,2022,1,AL,761
13,2022,2,AL,734
14,2022,3,AL,708
15,2022,4,AL,681
16,2022,5,AL,654
17,2022,6,AL,628
18,2022,7,AL,601
19,2022,8,AL,575
20,2022,9,AL,548
21,2022,10,AL,521
22,2022,11,AL,495
23,2022,12,AL,468
24,2022,1,AR,611
25,2022,2,AR,585
26,2022,3,AR,558
27,2022,4,AR,532
28,2022,5,AR,505
29,2022,6,AR,478
30,2022,7,AR,452
31,2022,8,AR,425
32,2022,9,AR,399
33,2022,10,AR,372
34,2022,11,AR,346
35,2022,12,AR,319
36,2022,1,AZ,960
37,2022,2,AZ,933
38,2022,3,AZ,906
39,2022,4,AZ,880
40,2022,5,AZ,853
41,2022,6,AZ,827
42,2022,7,AZ,800
43,2022,8,AZ,774
44,2022,9,AZ,747
45,2022,10,AZ,720
46,2022,11,AZ,694
47,2022,12,AZ,667
48,2022,1,CA,3000
49,2022,2,CA,2974
50,2022,3,CA,2947
51,2022,4,CA,2920
52,2022,5,CA,2894
53,2022,6,CA,2867
54,2022,7,CA,2841
55,2022,8,CA,2814
56,2022,9,CA,2787
57,2022,10,CA,2761
58,2022,11,CA,2734
59,2022,12,CA,2708
60,2022,1,CO,529
61,2022,2,CO,503
62,2022,3,CO,476
63,2022,4,CO,450
64,2022,5,CO,423
65,2022,6,CO,396
66,2022,7,CO,370
67,2022,8,CO,343
68,2022,9,CO,317
69,2022,10,CO,290
70,2022,11,CO,263
71,2022,12,CO,237
72,2022,1,CT,67
73,2022,2,CT,40
74,2022,3,CT,14
75,2022,4,CT,0
76,2022,5,CT,0
77,2022,6,CT,0
78,2022,7,CT,0
79,2022,8,CT,0
80,2022,9,CT,0
81,2022,10,CT,0
82,2022,11,CT,0
83,2022,12,CT,0
84,2022,1,DC,12
85,2022,2,DC,0
86,2022,3,DC,0
87,2022,4,DC,0
88,2022,5,DC,0
89,2022,6,DC,0
90,2022,7,DC,0
91,2022,8,DC,0
92,2022,9,DC,0
93,2022,10,DC,0
94,2022,11,DC,0
95,2022,12,DC,0
96,2022,1,DE,77
97,2022,2,DE,51
98,2022,3,DE,24
99,2022,4,DE,0
100,2022,5,DE,0
101,2022,6,DE,0
102,2022,7,DE,0
103,2022,8,DE,0
104,2022,9,DE,0
105,2022,10,DE,0
106,2022,11,DE,0
107,2022,12,DE,0
108,2022,1,FL,1156
109,2022,2,FL,1129
110,2022,3,FL,1103
111,2022,4,FL,1076
112,2022,5,FL,1050
113,2022,6,FL,1023
114,2022,7,FL,997
115,2022,8,FL,970
116,2022,9,FL,943
117,2022,10,FL,917
118,2022,11,FL,890
119,2022,12,FL,864
120,2022,1,GA,1772
121,2022,2,GA,1745
122,2022,3,GA,1719
123,2022,4,GA,1692
124,2022,5,GA,1666
125,2022,6,GA,1639
126,2022,7,GA,1612
127,2022,8,GA,1586
128,2022,9,GA,1559
129,2022,10,GA,1533
130,2022,11,GA,1506
131,2022,12,GA,1480
132,2022,1,HI,66
133,2022,2,HI,40
134,2022,3,HI,13
135,2022,4,HI,0
136,2022,5,HI,0
137,2022,6,HI,0
138,2022,7,HI,0
139,2022,8,HI,0
140,2022,9,HI,0
141,2022,10,HI,0
142,2022,11,HI,0
143,2022,12,HI,0
144,2022,1,IA,96
145,2022,2,IA,69
146,2022,3,IA,43
147,2022,4,IA,16
148,2022,5,IA,0
149,2022,6,IA,0
150,2022,7,IA,0
151,2022,8,IA,0
152,2022,9,IA,0
153,2022,10,IA,0
154,2022,11,IA,0
155,2022,12,IA,0
156,2022,1,ID,579
157,2022,2,ID,553
158,2022,3,ID,526
159,2022,4,ID,499
160,2022,5,ID,473
161,2022,6,ID,446
162,2022,7,ID,420
163,2022,8,ID,393
164,2022,9,ID,367
165,2022,10,ID,340
166,2022,11,ID,313
167,2022,12,ID,287
168,2022,1,IL,1
169,2022,2,IL,0
170,2022,3,IL,0
171,2022,4,IL,0
172,2022,5,IL,0
173,2022,6,IL,0
174,2022,7,IL,0
175,2022,8,IL,0
176,2022,9,IL,0
177,2022,10,IL,0
178,2022,11,IL,0
179,2022,12,IL,0
180,2022,1,IN,0
181,2022,2,IN,0
182,2022,3,IN,0
183,2022,4,IN,0
184,2022,5,IN,0
185,2022,6,IN,0
186,2022,7,IN,0
187,2022,8,IN,0
188,2022,9,IN,0
189,2022,10,IN,0
190,2022,11,IN,0
191,2022,12,IN,0
192,2022,1,KS,561
193,2022,2,KS,535
194,2022,3,KS,508
195,2022,4,KS,481
196,2022,5,KS,455
197,2022,6,KS,428
198,2022,7,KS,402
199,2022,8,KS,375
200,2022,9,KS,349
201,2022,10,KS,322
202,2022,11,KS,295
203,2022,12,KS,269
204,2022,1,KY,371
205,2022,2,KY,345
206,2022,3,KY,318
207,2022,4,KY,292
208,2022,5,KY,265
209,2022,6,KY,238
210,2022,7,KY,212
211,2022,8,KY,185
212,2022,9,KY,159
213,2022,10,KY,132
214,2022,11,KY,105
215,2022,12,KY,79
216,2022,1,LA,297
217,2022,2,LA,270
218,2022,3,LA,244
219,2022,4,LA,217
220,2022,5,LA,191
221,2022,6,LA,164
222,2022,7,LA,138
223,2022,8,LA,111
224,2022,9,LA,84
225,2022,10,LA,58
226,2022,11,LA,31
227,2022,12,LA,5
228,2022,1,MA,242
229,2022,2,MA,215
230,2022,3,MA,189
231,2022,4,MA,162
232,2022,5,MA,135
233,2022,6,MA,109
234,2022,7,MA,82
235,2022,8,MA,56
236,2022,9,MA,29
237,2022,10,MA,2
238,2022,11,MA,0
239,2022,12,MA,0
240,2022,1,MD,15
241,2022,2,MD,0
242,2022,3,MD,0
243,2022,4,MD,0
244,2022,5,MD,0
245,2022,6,MD,0
246,2022,7,MD,0
247,2022,8,MD,0
248,2022,9,MD,0
249,2022,10,MD,0
250,2022,11,MD,0
251,2022,12,MD,0
252,2022,1,ME,127
253,2022,2,ME,100
254,2022,3,ME,73
255,2022,4,ME,47
256,2022,5,ME,20
257,2022,6,ME,0
258,2022,7,ME,0
259,2022,8,ME,0
260,2022,9,ME,0
261,2022,10,ME,0
262,2022,11,ME,0
263,2022,12,ME,0
264,2022,1,MI,202
265,2022,2,MI,175
266,2022,3,MI,149
267,2022,4,MI,122
268,2022,5,MI,95
269,2022,6,MI,69
270,2022,7,MI,42
271,2022,8,MI,16
272,2022,9,MI,0
273,2022,10,MI,0
274,2022,11,MI,0
275,2022,12,MI,0
276,2022,1,MN,563
277,2022,2,MN,536
278,2022,3,MN,510
279,2022,4,MN,483
280,2022,5,MN,457
281,2022,6,MN,430
282,2022,7,MN,403
283,2022,8,MN,377
284,2022,9,MN,350
285,2022,10,MN,324
286,2022,11,MN,297
287,2022,12,MN,271
288,2022,1,MO,253
289,2022,2,MO,226
290,2022,3,MO,200
291,2022,4,MO,173
292,2022,5,MO,147
293,2022,6,MO,120
294,2022,7,MO,93
295,2022,8,MO,67
296,2022,9,MO,40
297,2022,10,MO,14
298,2022,11,MO,0
299,2022,12,MO,0
300,2022,1,MS,653
301,2022,2,MS,627
302,2022,3,MS,600
303,2022,4,MS,573
304,2022,5,MS,547
305,2022,6,MS,520
306,2022,7,MS,494
307,2022,8,MS,467
308,2022,9,MS,440
309,2022,10,MS,414
310,2022,11,MS,387
311,2022,12,MS,361
312,2022,1,MT,568
313,2022,2,MT,542
314,2022,3,MT,515
315,2022,4,MT,489
316,2022,5,MT,462
317,2022,6,MT,435
318,2022,7,MT,409
319,2022,8,MT,382
320,2022,9,MT,356
321,2022,10,MT,329
322,2022,11,MT,302
323,2022,12,MT,276
324,2022,1,NC,1503
325,2022,2,NC,1476
326,2022,3,NC,1450
327,2022,4,NC,1423
328,2022,5,NC,1396
